Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,7279.200195,7352.200195,7279.200195,7317.399902,7317.399902,697005200
2019-04-02,7317.399902,7403.600098,7316.799805,7391.100098,7391.100098,720842000
2019-04-03,7391.100098,7418.299805,7380.899902,7418.299805,7418.299805,880770400
2019-04-04,7418.299805,7418.399902,7367.399902,7401.899902,7401.899902,675670900
2019-04-05,7401.899902,7461.399902,7400.799805,7446.899902,7446.899902,679960600
2019-04-08,7446.899902,7459.899902,7420.399902,7451.899902,7451.899902,571379100
2019-04-09,7451.899902,7477.600098,7413.299805,7425.600098,7425.600098,652297100
2019-04-10,7425.600098,7441.399902,7409.399902,7421.899902,7421.899902,569746800
2019-04-11,7421.899902,7441.899902,7383.500000,7418.000000,7418.000000,629602900
2019-04-12,7418.000000,7454.799805,7415.000000,7437.100098,7437.100098,696895600
2019-04-15,7437.100098,7447.100098,7420.299805,7436.899902,7436.899902,511603500
2019-04-16,7436.899902,7485.899902,7436.899902,7469.899902,7469.899902,623807300
2019-04-17,7469.899902,7479.000000,7445.100098,7471.299805,7471.299805,646326400
2019-04-18,7471.299805,7475.899902,7437.899902,7459.899902,7459.899902,520513300
2019-04-23,7459.899902,7528.899902,7459.899902,7523.100098,7523.100098,772087000
2019-04-24,7523.100098,7523.799805,7456.700195,7471.799805,7471.799805,682647400
2019-04-25,7471.799805,7473.299805,7406.000000,7434.100098,7434.100098,674377600
2019-04-26,7434.100098,7442.200195,7398.600098,7428.200195,7428.200195,839779200
2019-04-29,7428.200195,7456.500000,7406.500000,7440.700195,7440.700195,491223900
2019-04-30,7440.700195,7451.299805,7394.100098,7418.200195,7418.200195,751088200
2019-05-01,7418.200195,7446.500000,7379.700195,7385.299805,7385.299805,336726900
2019-05-02,7385.299805,7393.899902,7339.500000,7351.299805,7351.299805,618376400
2019-05-03,7351.299805,7418.200195,7350.000000,7380.600098,7380.600098,462290200
2019-05-07,7380.600098,7380.600098,7251.000000,7260.500000,7260.500000,880585900
2019-05-08,7260.500000,7278.299805,7222.899902,7271.000000,7271.000000,809211600
2019-05-09,7271.000000,7271.000000,7192.200195,7207.399902,7207.399902,854458400
2019-05-10,7207.399902,7268.200195,7189.899902,7203.299805,7203.299805,618170400
2019-05-13,7203.299805,7217.100098,7150.899902,7163.700195,7163.700195,773553600
2019-05-14,7163.700195,7241.600098,7163.700195,7241.600098,7241.600098,721546200
2019-05-15,7241.600098,7303.700195,7223.100098,7297.000000,7297.000000,811266000
2019-05-16,7297.000000,7353.500000,7265.799805,7353.500000,7353.500000,655973100
2019-05-17,7353.500000,7354.200195,7307.299805,7348.600098,7348.600098,741020200
2019-05-20,7348.600098,7360.299805,7268.600098,7310.899902,7310.899902,732464200
2019-05-21,7310.899902,7370.000000,7310.899902,7328.899902,7328.899902,749358400
2019-05-22,7328.899902,7373.299805,7313.600098,7334.200195,7334.200195,800943900
2019-05-23,7334.200195,7334.200195,7211.299805,7231.000000,7231.000000,795078400
2019-05-24,7231.000000,7303.000000,7231.000000,7277.700195,7277.700195,633553800
2019-05-28,7277.700195,7314.899902,7262.799805,7269.000000,7269.000000,1155168300
2019-05-29,7269.000000,7269.000000,7151.399902,7185.299805,7185.299805,652877900
2019-05-30,7185.299805,7236.700195,7180.600098,7218.200195,7218.200195,638457200
2019-05-31,7218.200195,7218.200195,7130.899902,7161.700195,7161.700195,853980400
2019-06-03,7161.700195,7186.700195,7079.700195,7184.799805,7184.799805,711561100
2019-06-04,7184.799805,7224.000000,7138.100098,7214.299805,7214.299805,829550400
2019-06-05,7216.700195,7259.200195,7201.399902,7220.200195,7220.200195,744999500
2019-06-06,7220.200195,7275.700195,7218.700195,7259.899902,7259.899902,621265600
2019-06-07,7259.899902,7347.399902,7258.200195,7331.899902,7331.899902,592558500
2019-06-10,7331.899902,7380.100098,7331.899902,7375.500000,7375.500000,447077300
2019-06-11,7375.500000,7420.700195,7375.500000,7398.500000,7398.500000,669773500
2019-06-12,7398.500000,7398.500000,7329.299805,7367.600098,7367.600098,800128100
2019-06-13,7367.600098,7398.600098,7351.000000,7368.600098,7368.600098,608751100
2019-06-14,7368.600098,7368.799805,7316.399902,7345.799805,7345.799805,610719800
2019-06-17,7345.799805,7370.700195,7324.500000,7357.299805,7357.299805,531721100
2019-06-18,7357.299805,7469.200195,7345.600098,7443.000000,7443.000000,798973400
2019-06-19,7443.000000,7454.899902,7399.200195,7403.500000,7403.500000,751391800
2019-06-20,7403.500000,7460.799805,7403.500000,7424.399902,7424.399902,698596800
2019-06-21,7424.399902,7456.799805,7382.899902,7407.500000,7407.500000,1451918700
2019-06-24,7407.500000,7435.500000,7399.600098,7416.700195,7416.700195,627473100
2019-06-25,7416.700195,7429.700195,7373.200195,7422.399902,7422.399902,607355800
2019-06-26,7422.399902,7435.899902,7405.500000,7416.399902,7416.399902,654431900
2019-06-27,7416.399902,7439.399902,7375.500000,7402.299805,7402.299805,645884500
2019-06-28,7402.299805,7436.200195,7398.899902,7425.600098,7425.600098,708530400
2019-07-01,7425.600098,7530.200195,7425.600098,7497.500000,7497.500000,634652500
2019-07-02,7497.500000,7565.299805,7497.500000,7559.200195,7559.200195,556375200
2019-07-03,7559.200195,7621.000000,7558.500000,7609.299805,7609.299805,682521500
2019-07-04,7609.299805,7622.600098,7601.299805,7603.600098,7603.600098,487717900
2019-07-05,7603.600098,7603.600098,7541.899902,7553.100098,7553.100098,550648200
2019-07-08,7553.100098,7571.299805,7538.700195,7549.299805,7549.299805,538297100
2019-07-09,7549.299805,7553.299805,7517.899902,7536.500000,7536.500000,542926500
2019-07-10,7536.500000,7559.100098,7515.600098,7530.700195,7530.700195,542296300
2019-07-11,7530.700195,7558.299805,7501.700195,7509.799805,7509.799805,593132000
2019-07-12,7509.799805,7537.100098,7493.799805,7506.000000,7506.000000,501138900
2019-07-15,7506.000000,7548.299805,7487.399902,7531.700195,7531.700195,482521800
2019-07-16,7531.700195,7590.100098,7524.500000,7577.200195,7577.200195,607182100
2019-07-17,7577.200195,7577.200195,7519.200195,7535.500000,7535.500000,576654300
2019-07-18,7535.500000,7535.500000,7482.600098,7493.100098,7493.100098,504046800
2019-07-19,7493.100098,7546.700195,7475.500000,7508.700195,7508.700195,575615700
2019-07-22,7508.700195,7549.700195,7491.799805,7514.899902,7514.899902,513122700
2019-07-23,7514.899902,7598.600098,7514.899902,7556.899902,7556.899902,634924300
2019-07-24,7556.899902,7558.000000,7479.100098,7501.500000,7501.500000,637416200
2019-07-25,7501.500000,7542.600098,7462.700195,7489.100098,7489.100098,633546500
2019-07-26,7489.100098,7553.600098,7486.700195,7549.100098,7549.100098,775744000
2019-07-29,7549.100098,7711.299805,7548.899902,7686.600098,7686.600098,759258200
2019-07-30,7686.600098,7727.500000,7643.700195,7646.799805,7646.799805,822322600
2019-07-31,7646.799805,7648.200195,7576.100098,7586.799805,7586.799805,1092686800
2019-08-01,7586.799805,7610.000000,7535.899902,7584.899902,7584.899902,817813900
2019-08-02,7584.899902,7585.200195,7397.899902,7407.100098,7407.100098,1031592200
2019-08-05,7407.100098,7407.100098,7200.500000,7223.899902,7223.899902,1243484900
2019-08-06,7223.899902,7241.600098,7167.000000,7171.700195,7171.700195,791750700
